U_S_R_I,HISTO_0,HISTO_11,HISTO_12,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_31,HISTO_41,HISTO_42,HISTO_43,HISTO_52,HISTO_71,HISTO_81,HISTO_82,HISTO_90,HISTO_95
83_098,"0","22107","0","51691","20937","4486","1055","10602","2567","1581","9234","313799","331129","137279","882177","5954","21817"
83_901,"0","646945","0","28664","19210","5034","849","52358","5710","3427","9757","140063","97441","18424","462531","32946","292892"
83_001,"0","48844","0","83516","67481","37858","12714","23500","11074","4834","17056","152632","95783","61415","980867","46092","172586"
83_301,"0","21632","0","142677","121169","52696","13837","8593","3314","458","6307","49413","37853","241983","1107202","4245","5040"
83_357,"0","120463","0","57840","35998","8406","2457","1535","157024","456408","227129","75873","77598","274668","13793","291670","15541"
85_906,"0","116723","0","38198","16019","4648","900","163","389979","448762","44823","581772","14298","24548","110869","7513","16851"
85_102,"0","674","0","27619","7368","1512","584","207","24327","35908","1594","825206","343966","48469","491018","692","7273"
85_904,"0","230896","0","15379","3638","673","119","574","35613","59620","3479","1197523","47998","131056","33574","10144","46126"
85_024,"0","164","0","8432","1857","8","1","754","17330","240194","6977","1416802","75175","11286","23317","10819","3140"
85_301,"0","399","0","3764","343","6","0","108","12089","148162","5048","1230640","376004","19599","9912","7357","2994"
85_302,"0","72768","0","10523","2249","41","3","395369","48","12371","24","916770","239629","14424","122816","2388","26974"
85_003,"0","2589","0","43557","33458","17898","7112","383","487345","407980","42859","603368","26360","25801","109784","6392","1350"
85_153,"0","12818","0","11466","1086","120","29","202","77672","106441","12537","1226937","107724","179764","29980","6028","43611"
85_151,"0","25","0","6859","3316","16","0","103872","23","5570","47","1396978","261866","14857","18698","3066","1231"
85_203,"0","2303","0","39169","27280","13934","4714","318","508147","393957","41050","647907","29187","15483","86021","6041","727"
85_907,"0","391","0","17572","664","60","23","58","412871","282556","32322","949785","71761","36089","5751","2687","3819"
85_103,"0","963","0","18504","1467","55","8","77","626382","338843","35091","735605","24685","4190","27379","2439","549"
85_152,"0","237867","0","27186","19735","12496","3822","464616","56216","33018","2275","236081","43747","38128","274331","11086","355808"
85_001,"0","143173","0","2027","1220","30","3","650299","4","2395","0","749472","250087","318","245","1639","15493"
85_025,"0","1047","0","3246","3152","20","0","18470","524","155324","172","1522769","91216","5142","14395","389","216"
85_303,"0","2426","0","19901","2050","394","36","100","727226","264408","28150","720151","15377","14985","18154","2439","627"
85_901,"0","15301","0","15350","10607","3700","731","125","84268","59259","4103","1386606","73051","107841","8322","7886","39283"
85_902,"0","5419","0","12384","277","16","1","77","587736","148422","8666","972825","54101","13835","2103","2861","7713"
85_002,"0","778413","0","738","349","377","31","493100","594","8648","26","242690","117186","4324","7531","3552","158870"
85_903,"0","6312","0","15002","9633","3512","692","46","250843","93687","3144","1280163","66517","48382","1658","6169","30672"
85_107,"0","3753","23","16473","1596","40","0","125298","204316","785144","77096","458650","33202","47919","0","39959","22784"
85_008,"0","13843","0","27554","3328","363","182","14552","85006","1063573","22610","517185","37349","5621","368","22519","2181"
85_158,"0","6509","0","10195","726","49","4","1783","52476","701110","10006","966904","46654","2119","280","10600","7000"
85_306,"0","9551","0","50689","11178","6184","992","1260","722146","222314","12116","653040","26648","80916","6487","8606","4117"
85_305,"0","516559","0","7872","12964","2939","1438","531821","1390","23463","131","298824","265063","42709","16187","6883","88163"
85_308,"0","8128","0","8181","783","135","18","4726","45269","641425","6269","1020125","66468","1758","437","7449","5244"
